user_id,first_name,last_name,date_start,date_end,ctc,net_pay,gross_pay,data_salary_basic_rate,data_salary_basic_type,currency,status,created_at
79738,"","",2022-02-01,2022-02-28,3679395,3679395,3679395,65000,daily,IDR,approved,2022-03-01 05:52:04
79765,"","",2022-02-01,2022-02-28,4005879,4005879,4005879,65000,daily,IDR,approved,2022-03-01 05:59:06
83893,"","",2022-02-01,2022-02-28,3555879,3555879,3555879,65000,daily,IDR,approved,2022-03-01 06:01:28
83894,"","",2022-02-01,2022-02-28,862582,862582,862582,65000,daily,IDR,approved,2022-03-01 06:03:03
83888,"","",2022-02-01,2022-02-28,2039580,2039580,2039580,65000,daily,IDR,approved,2022-03-01 06:04:35
90377,"","",2022-02-01,2022-02-28,1125000,1125000,1125000,750000,monthly,IDR,approved,2022-03-01 06:09:04
91338,"","",2022-02-01,2022-02-28,3652912,3652912,3652912,65000,daily,IDR,approved,2022-03-01 06:11:45
90711,"","",2022-02-01,2022-02-28,3073296,3073296,3073296,65000,daily,IDR,approved,2022-03-01 06:13:08
90710,"","",2022-02-01,2022-02-28,1862198,1862198,1862198,65000,daily,IDR,approved,2022-03-01 06:17:53
90862,"","",2022-02-01,2022-02-28,2456264,2456264,2456264,65000,daily,IDR,approved,2022-03-01 06:19:49
90862,"","",2022-02-01,2022-02-28,,,,65000,daily,,draft,2022-03-01 06:19:49
92930,"","",2022-02-01,2022-02-28,286237,286237,286237,55000,daily,IDR,approved,2022-03-01 06:21:11
74027,"","",2022-02-01,2022-02-28,3603574,3603574,3603574,3500000,monthly,IDR,approved,2022-03-01 06:30:17
74138,"","",2022-02-01,2022-02-28,1027500,1027500,1027500,1000000,monthly,IDR,approved,2022-03-01 06:31:32
74025,"","",2022-02-01,2022-02-28,1947500,1947500,1947500,2000000,monthly,IDR,approved,2022-03-01 06:33:12
75952,"","",2022-02-01,2022-02-28,,,,9000,hourly,,draft,2022-03-01 06:33:45
83902,"","",2022-02-01,2022-02-28,2592822,2592822,2592822,2500000,monthly,IDR,approved,2022-03-01 06:34:56
88348,"","",2022-02-01,2022-02-28,2594604,2594604,2594604,2000000,monthly,IDR,approved,2022-03-01 06:37:53
88357,"","",2022-02-01,2022-02-28,1455000,1455000,1455000,1500000,monthly,IDR,approved,2022-03-01 06:39:46
88347,"","",2022-02-01,2022-02-28,2068869,2068869,2068869,2000000,monthly,IDR,approved,2022-03-01 06:40:28
84932,"","",2022-02-01,2022-02-28,234000,234000,234000,120000,daily,IDR,approved,2022-03-01 06:41:48
75218,"","",2022-03-01,2022-03-31,633670.83333333,633670.83,633670.83333333,15000,hourly,IDR,approved,2022-04-04 04:08:44
93607,"","",2022-03-01,2022-03-31,419250,419250,419250,120000,daily,IDR,approved,2022-04-11 07:23:16
84932,"","",2022-03-01,2022-03-31,487500,487500,487500,120000,daily,IDR,approved,2022-04-11 07:26:10
85877,"","",2022-03-01,2022-03-31,497250,497250,497250,120000,daily,IDR,approved,2022-04-11 07:29:26
